Year,Leading Cause,Sex,Race Ethnicity,Deaths,Death Rate,Age Adjusted Death Rate
2011,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Not Stated/Unknown,10,0,0
2010,"Essential Hypertension and Renal Diseases (I10, I12)",F,Asian and Pacific Islander,33,5.9,7.1
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Black Non-Hispanic,2121,248.9,340.2
2008,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Not Stated/Unknown,13,0,0
2011,Chronic Lower Respiratory Diseases (J40-J47),M,Black Non-Hispanic,200,23.4,29.1
2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Not Stated/Unknown,95,0,0
2007,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Asian and Pacific Islander,36,7.4,7.7
2012,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Not Stated/Unknown,11,0,0
2007,Malignant Neoplasms (Cancer: C00-C97),F,Hispanic,969,83,100.7
2007,Influenza (Flu) and Pneumonia (J09-J18),F,Asian and Pacific Islander,58,11.3,15.8
2011,Diabetes Mellitus (E10-E14),F,Not Stated/Unknown,6,0,0
2013,"Essential Hypertension and Renal Diseases (I10, I12)",M,White Non-Hispanic,156,11.6,9.3
2012,Diabetes Mellitus (E10-E14),F,Black Non-Hispanic,409,39.1,33.8
2007,Malignant Neoplasms (Cancer: C00-C97),F,White Non-Hispanic,3518,245.2,167.4
2012,Influenza (Flu) and Pneumonia (J09-J18),M,White Non-Hispanic,540,40.3,32.3
2012,Influenza (Flu) and Pneumonia (J09-J18),M,Hispanic,205,17.5,31.5
